track,artist,uri,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,chorus_hit,sections,target,decade
Pollution Rock,Nordre Sving,spotify:track:0nDQHCFVIZSudI5KigcO8z,0.547,0.683,2,-7.749,1,0.0368,0.0236,0.0,0.093,0.888,94.937,163997,4,48.12128,8,0,2000
Coming Back Around - Domu Re-Beat Mix,Domu,spotify:track:3ux9LeNRAgENFLcI7ZFebb,0.364,0.866,1,-6.798,1,0.139,0.0134,0.00618,0.109,0.963,189.091,374773,3,29.83122,19,0,2000
Königin,Faun,spotify:track:5ZaquedAbEd7VAJfe0FLhE,0.602,0.328,3,-16.128,1,0.0249,0.842,0.000758,0.208,0.413,108.003,385253,4,43.01027,21,0,2000
Luckiest Man,The Wood Brothers,spotify:track:26uHwSHlaK5mskSMhbRod3,0.571,0.281,5,-10.56,1,0.0475,0.74,0.0,0.163,0.294,142.263,233667,4,42.29581,9,0,2000
Blow Me,DJ D,spotify:track:2ohXvQLyB5RbZ0du4fAQHX,0.461,0.93,8,-8.343,0,0.187,0.0531,0.733,0.177,0.14,163.934,371984,4,48.20956,19,0,2000
Still Broken,Plan Three,spotify:track:2ajt6aQwvgu2eJbNIZhJFY,0.51,0.881,11,-4.384,0,0.0354,0.000591,1.46e-05,0.131,0.278,91.034,232093,4,31.97236,9,0,2000
Open House,Guru,spotify:track:2nIQLI6m0qgjuZ6eO3f7r3,0.744,0.739,4,-6.272,0,0.307,0.119,0.0,0.106,0.678,79.245,185582,4,28.99861,8,0,2000
1000 Estrellas,Charlie 3,spotify:track:4dk59nVJKBJCPupuL6RGae,0.473,0.722,5,-5.176,1,0.0358,0.00507,0.0,0.377,0.549,149.625,256000,4,40.17949,11,0,2000
Polonaise Brilliante,Nikolai Kapustin,spotify:track:3sO3HX4EP1jS9rZW9OvHCN,0.387,0.268,0,-13.996,1,0.0348,0.995,0.828,0.0942,0.337,113.357,518227,4,28.63663,17,0,2000
Forever Heavy,Black Moth Super Rainbow,spotify:track:56e8Ac9LVRJf3SvVa9vVg0,0.384,0.735,5,-4.856,0,0.0383,0.703,0.921,0.232,0.276,133.906,256013,4,78.69983,10,0,2000
Treasure,Trevor Rabin,spotify:track:2X42kkAi74tp2Je6OuML6c,0.064,0.0794,3,-16.971,1,0.0403,0.432,0.896,0.151,0.0356,63.29,218947,4,57.70217,12,0,2000
Nin-com-pop - Two Lone Swordsmen - Sampler Version,Lali Puna,spotify:track:6VVvxfr9thHNyd61X0FNAV,0.726,0.294,4,-14.451,0,0.0472,0.595,0.717,0.0385,0.185,125.712,206733,4,29.71117,12,0,2000
I Wanna Be Your Dog,Sky Saxon,spotify:track:1jEOVktr2HSpay9i6pqWBG,0.598,0.782,4,-6.018,1,0.0305,0.407,6.55e-05,0.558,0.298,118.938,205053,4,21.29442,10,0,2000
Sleepy Silver Door,Dead Meadow,spotify:track:2HlBvuaKhdftTRb3TCklhQ,0.365,0.632,11,-6.574,1,0.0303,0.444,0.708,0.127,0.289,129.545,452747,4,43.87393,15,0,2000
People Make The World Go Round (Boris Main Mix),Joi Cardwell,spotify:track:6UhrIkR4sDh8LpoWdUVzt1,0.792,0.637,4,-9.826,0,0.0743,0.000443,0.448,0.0698,0.366,127.989,481350,4,57.90045,18,0,2000
God Is Dead,Heart Attack,spotify:track:0k3akiXIyGFLT31IC3twkP,0.343,0.972,1,-9.573,0,0.079,1.52e-06,0.51,0.0501,0.547,94.927,82187,4,14.98454,3,0,2000
Deathmask Divine,The Black Dahlia Murder,spotify:track:3oCTRjyXmT1MMn4nVQMKBm,0.471,0.993,1,-3.738,1,0.191,7.36e-06,0.00216,0.0925,0.0672,113.996,217253,4,18.99449,12,0,2000
Rock and Roll Marionett,Stein Ingebrigtsen,spotify:track:1VOPQGI9tO0S1SKSoOqAiC,0.682,0.579,7,-7.924,1,0.0712,0.196,0.0,0.136,0.784,100.186,222589,4,43.76046,8,0,2000
Gråt inga tårar mer,Titanix,spotify:track:3M9rd6Ypxn783h5Y5HLNjF,0.59,0.836,7,-2.805,1,0.0385,0.00334,0.0,0.0358,0.939,138.84,143000,4,45.10531,6,0,2000
Good Luck,Basement Jaxx,spotify:track:2bmmeB82W3J241MijDIiHk,0.577,0.936,5,-4.179,1,0.0915,0.0839,0.0,0.344,0.572,153.985,211547,4,25.54091,12,0,2000
The Orange Fox Waits,Robin Spielberg,spotify:track:1aTcDNvEBoqWN9FxuoBhfB,0.441,0.0712,2,-21.625,1,0.0456,0.995,0.934,0.0917,0.157,94.35,185533,4,58.47325,7,0,2000
You Rock My World,Java Gospel,spotify:track:00nQhTtc8FxgmB0NWypSE0,0.662,0.854,1,-5.518,1,0.0434,0.133,0.0,0.333,0.915,121.961,245947,4,40.45327,11,0,2000
Bombay Jazz,Carlo Fashion,spotify:track:470NlXJBatHwrcnfGFJylg,0.65,0.72,11,-8.803,1,0.161,0.0238,0.14,0.367,0.738,154.664,170213,4,59.91442,4,0,2000
Punk Fact Or Faction,Extreme Noise Terror,spotify:track:0dRyY3VAXutGwDyK1cB4ZL,0.173,0.997,4,-3.692,1,0.195,1.03e-05,0.631,0.324,0.0329,121.013,96013,4,28.09894,6,0,2000
Fun in America,Jayne County,spotify:track:0pDrgytQok3cwE3RFFuCSW,0.359,0.979,2,-6.998,1,0.196,0.0105,0.0,0.0763,0.256,172.611,187907,4,20.91098,10,0,2000
Sinking,Incendiary,spotify:track:691zGt8f43n3D2X068fHaa,0.209,0.923,7,-3.286,1,0.0598,5.66e-05,0.0505,0.326,0.42,93.347,170813,4,105.99946,5,0,2000
Echoes of Fashion,Djako,spotify:track:2kEP1TKpYEiWS1mVLaP47f,0.71,0.787,7,-7.962,0,0.0365,0.00649,0.815,0.0609,0.422,128.05,288750,4,31.40298,11,0,2000
I Touch Myself,Jan Wayne,spotify:track:5GrqtGJhoa6EqvCUs5fVYf,0.636,0.993,5,-5.203,0,0.0508,0.00878,0.268,0.26,0.478,141.97,223947,4,56.28675,11,0,2000
Baby Please,Allison,spotify:track:2JMLgdz2Y5CnNPE70A1OYK,0.628,0.541,1,-5.568,1,0.0246,0.292,0.0,0.0933,0.443,102.513,157960,4,49.69981,7,0,2000
The Worms Will Get In,Jazkamer,spotify:track:5HwXiRSQIJfDDzZatkpMMY,0.0775,0.00796,1,-10.458,1,0.0413,0.841,0.923,0.102,0.029,72.592,1011760,4,12.57441,57,0,2000
Prelude and Fugue in c-minor op. 37: Fugue,Felix Mendelssohn,spotify:track:6DwnOj01tAOlzZgtNy2zxN,0.106,0.0424,0,-19.749,0,0.0365,0.887,0.899,0.134,0.0377,63.533,256240,4,23.27108,12,0,2000
คนไร้ค่า,Stone Metal Fire,spotify:track:0K1U7QPsuA6tU0gJTvHZpC,0.473,0.464,10,-8.112,0,0.0287,0.00267,0.000663,0.107,0.25,128.955,272400,3,47.53233,12,0,2000
Fallout (Of Our Being),Nausea,spotify:track:6SO0RfXtb6kgYO17lNwKn8,0.308,0.935,2,-7.309,0,0.124,0.00254,0.203,0.303,0.171,89.547,115853,4,71.55419,4,0,2000
Encarnar no Seu Corpo,Sarcasmo,spotify:track:2KS0Ce6rbK7nsV67Lj85uQ,0.191,0.996,2,-4.596,1,0.159,5.12e-05,0.132,0.315,0.0752,110.512,318360,4,29.58095,12,0,2000
Blue Aphrodite,Jens Buchert,spotify:track:5ovM96XM7jgTMTLh5Cixel,0.569,0.463,1,-12.441,1,0.0284,0.237,0.733,0.148,0.218,109.039,190000,4,23.13921,13,0,2000
Il trattamento,Cor Veleno,spotify:track:5qUWO7mmcF83PMftjF3P09,0.803,0.821,1,-4.342,0,0.252,0.0449,0.0,0.115,0.763,100.031,229973,4,49.96968,7,0,2000
With Me - Massive Power Mix,Crush 40,spotify:track:2IqacX5Aw5vEMbrL1j5UI4,0.447,0.874,8,-5.82,1,0.0457,6.52e-05,0.00078,0.0573,0.64,87.474,235000,4,33.77383,11,0,2000
Sunday School,Pretty Lights,spotify:track:0eU8KglPlVxVMZVDNGi7GU,0.729,0.746,9,-4.84,0,0.0599,0.0464,0.114,0.105,0.562,94.977,391361,4,34.23814,16,0,2000
Substream,Kyoto Jazz Massive,spotify:track:19EPTHJf2GpZaKWq2CW019,0.771,0.903,0,-5.688,1,0.0551,0.00438,0.481,0.333,0.879,123.014,394880,4,32.53368,12,0,2000
Charity,Synapscape,spotify:track:3q7I36leqmQqjs4xAhXrO4,0.645,0.984,0,-5.013,1,0.315,0.017,0.946,0.34,0.0466,132.894,249013,4,16.59496,11,0,2000
Om Namo Narayana Karna Ranjani K.Chappu Ambujam Krishna,Sudha Ragunathan,spotify:track:4N5jef6tQn5wg8pjxQ2BBd,0.522,0.328,1,-13.715,1,0.0394,0.944,0.0885,0.106,0.727,155.673,382200,5,166.1522,9,0,2000
Airport Sadness - 2008 Remaster,Brad Mehldau,spotify:track:0vqknpE0wpLA17uYiv4kUv,0.444,0.0162,5,-27.773,1,0.0452,0.993,0.922,0.0873,0.079,100.364,284213,4,29.45978,15,0,2000
Notorious Thugs,Scary Kids Scaring Kids,spotify:track:6BjA89sjpmQyvcWBQSZQGY,0.664,0.761,4,-5.809,0,0.07,0.015,0.0,0.618,0.345,129.939,443080,4,24.17369,19,0,2000
Mouth Of Ghosts,The Dillinger Escape Plan,spotify:track:0Le202Yj1zphNm3QyfN1sB,0.279,0.901,1,-7.052,1,0.0557,0.000529,0.118,0.37,0.268,119.95,409827,4,47.32667,13,0,2000
Closet Punk,D.R.I.,spotify:track:00cAz18F7uLKFwls8OrhNo,0.455,0.988,3,-3.075,0,0.122,0.0128,0.983,0.359,0.484,98.85,31560,4,9.53802,3,0,2000
The Sniper At The Gates Of Heaven,The Black Angels,spotify:track:3tX4hDnn0n6B066kOFmziQ,0.311,0.709,4,-7.235,1,0.0331,0.000104,0.215,0.156,0.343,108.284,256627,4,29.34654,12,0,2000
Rock de la Carcel,Enrique Guzman,spotify:track:7LUtYl1Q0l6ImNwcBZJHyO,0.592,0.418,2,-10.741,1,0.0585,0.679,0.00246,0.16,0.643,90.732,139627,4,30.69739,8,0,2000
Full Metal Swimsuit,Agoraphobic Nosebleed,spotify:track:4ESpRPaf5sBc4rEPCkKtba,0.298,0.943,10,-4.019,0,0.18,8.53e-05,0.00382,0.52,0.199,102.7,34560,4,0.0,2,0,2000
Hall of the Mountain King,Apocalyptica,spotify:track:6U6ShLCW3mGVgkGARKNLhL,0.233,0.609,7,-5.852,1,0.0438,0.000849,0.826,0.0874,0.28,96.808,209347,4,29.07217,11,0,2000
If - Original Mix,Phaeleh,spotify:track:2ltpigohYJYHBQgy34u2LF,0.712,0.496,10,-13.591,0,0.0602,0.0338,0.801,0.108,0.15,137.002,312000,4,28.90139,10,0,2000
The Sprig of Thyme: No. 1. The bold grenadier,John Rutter,spotify:track:0qrluoRkYlnM7R46lJs6Gr,0.19,0.0237,5,-29.269,0,0.0397,0.991,0.0387,0.104,0.14,103.604,182400,3,20.01717,10,0,2000
Wednesday Night Prayer Meeting - Alternative Take,Charles Mingus,spotify:track:42IqaW4VDhFomQMojirykk,0.377,0.453,5,-14.669,0,0.0636,0.459,0.00268,0.0921,0.607,126.93,341333,3,35.14482,15,0,2000
Not Nineteen Forever,Courteeners,spotify:track:1bSkRvS1uWHI1QL0aJbvyC,0.402,0.92,2,-2.944,1,0.0408,0.000174,0.0,0.0807,0.297,139.793,243973,4,150.0781,6,0,2000
Taxidermist,False Prophets,spotify:track:5TmLCuGKfXZVahBnTs2Bws,0.137,0.853,11,-8.79,0,0.0972,0.000129,0.00229,0.0473,0.252,187.209,274493,4,106.25521,8,0,2000
In A Red Dress And Alone,Evans Blue,spotify:track:4Mt82f1x76cieBiHaCLQxi,0.347,0.882,0,-4.444,1,0.0799,0.000163,0.142,0.296,0.455,178.321,189533,4,25.29914,8,0,2000
Message Horn's Enchanting Echo,Daemonia Nymphe,spotify:track:32MUHfMmhX9qNmNw1MawUb,0.252,0.111,0,-15.312,0,0.0368,0.981,0.516,0.116,0.23,95.929,137520,4,57.71955,7,0,2000
Peligroso Pop,Plastilina Mosh,spotify:track:5lwPvoxq9H3eAawY4236zP,0.713,0.907,6,-4.132,0,0.0336,0.000468,0.00524,0.0846,0.739,135.055,216600,4,28.53523,9,0,2000
Boy From School,Hot Chip,spotify:track:1L8H6AuK4TaMmolSL0N0mR,0.631,0.863,8,-3.963,0,0.0297,0.161,5.85e-05,0.0846,0.497,125.994,319653,4,77.17961,13,0,2000
All Hail Shadow,Crush 40,spotify:track:0O2TR0dmwnPejopBpMpv9e,0.308,0.934,7,-6.939,1,0.0824,2.35e-06,3.69e-06,0.0896,0.419,170.009,241693,4,21.19217,9,0,2000
La valse d'Amélie - Version piano,Yann Tiersen,spotify:track:78IQDW7yyMzJavHiWqfBWR,0.194,0.179,9,-16.836,0,0.0413,0.988,0.86,0.0819,0.179,177.667,158667,3,30.35531,7,0,2000
Tattoos Fade,World / Inferno Friendship Society,spotify:track:6ODgAJmmQAiESP03dOa8gQ,0.293,0.877,9,-6.469,1,0.0707,0.0813,0.0437,0.0917,0.584,69.219,312893,4,57.28589,14,0,2000
Kingdom Business,Canton Jones,spotify:track:5XFzsWkAeiWVasprx2CBOE,0.648,0.776,11,-5.698,0,0.252,0.00362,0.0,0.179,0.446,91.218,246960,4,35.9768,12,0,2000
Aaj Mausam Bada Be-Iman Hai,Mohammed Rafi,spotify:track:3ptSDu7LuyCGaXaD38MEfP,0.336,0.449,0,-13.267,1,0.0367,0.9,7e-05,0.109,0.547,139.13,379867,4,46.31308,16,0,2000
And Here We Test Our Powers Of Observation,The Bad Plus,spotify:track:2fNCSdonK3E2ODMvAUx92e,0.367,0.833,8,-8.8,1,0.0322,0.197,0.803,0.136,0.491,93.08,261400,4,16.78397,15,0,2000
Jazz,Pretty Balanced,spotify:track:5DynuE4Qw0OPVifgP0BPWK,0.374,0.344,6,-9.012,0,0.0341,0.459,0.397,0.0915,0.0386,152.11,318880,4,26.48821,15,0,2000
Walking with a Ghost,Tegan and Sara,spotify:track:7ImkjvM1OKWhJ5HIPOHcHE,0.788,0.541,6,-5.987,0,0.0387,0.125,0.000231,0.0679,0.928,118.058,150293,4,29.23319,6,0,2000
Whore to a Chainsaw,Thy Art Is Murder,spotify:track:6DR4rQ3pSQq9N8vMa0l8mR,0.295,0.967,1,-6.328,0,0.169,7.73e-05,0.784,0.217,0.254,149.99,200747,1,28.35758,9,0,2000
The Ravenous Beast,Destruction,spotify:track:1PJSHuwghcl1htfLf4KvBV,0.419,0.988,3,-2.241,0,0.111,0.000304,0.589,0.289,0.378,97.036,189133,4,25.31017,10,0,2000
The Curly Shuffle,Jump 'N' The Saddle Band,spotify:track:5Pijq9ImAu5xweS1lxAKwK,0.632,0.484,9,-11.772,1,0.104,0.156,0.0,0.153,0.873,80.687,174707,4,46.8153,9,0,2000
Proper Rock,The Chap,spotify:track:7tCql58FzOCWiROAfH2O6o,0.509,0.59,9,-10.096,1,0.0891,0.00413,0.0202,0.0633,0.624,159.945,235173,4,52.04269,10,0,2000
Eppo Varuvaro - Johnpuri - Adi,Neyyattinkara Vasudevan,spotify:track:0SpnECT7VaSHxbRqR6gC3E,0.435,0.806,7,-5.222,1,0.0819,0.395,0.0,0.0842,0.596,93.162,258053,4,24.19913,9,0,2000
Take Your Time (Coming Home),fun.,spotify:track:2WmF4SAbX81fLDXhYsAMf9,0.436,0.746,2,-5.301,1,0.0843,0.0768,2.49e-06,0.126,0.301,132.06,471267,4,46.90335,18,0,2000
"7 Songs on Chinese Poems, Op. 71 No. 4: Traveling Song",Alexander Tcherepnin,spotify:track:1VAljuZRSK9hdWrowK8WAy,0.585,0.123,3,-13.695,1,0.0711,0.99,0.0104,0.143,0.969,115.145,102907,4,35.1975,6,0,2000
"Symphony No. 8 in B Minor, D. 759, ""Unfinished"": I. Allegro moderato",Franz Schubert,spotify:track:5VNiNarIW6OOx2UvRIQv4C,0.128,0.045,11,-17.723,0,0.0385,0.942,0.894,0.115,0.0395,85.907,687067,4,72.51274,34,0,2000
Holly Park,Brandtson,spotify:track:0eGWKb3AFCQGPzEzrHK9HW,0.244,0.67,6,-5.924,1,0.0286,0.000685,0.00274,0.109,0.502,170.654,331467,3,59.1293,13,0,2000
Female Buddha Taras Mantra - Tibetan Chant plus Urban Groove,Lama Surya Das & Steven Halpern,spotify:track:4jltSJWHhH9IBq980mhfTg,0.603,0.253,5,-14.336,0,0.0282,0.67,0.0854,0.116,0.0999,76.912,347653,4,22.75065,17,0,2000
A Child Is Born,Jon Kennedy,spotify:track:6GFDygDJvoYm4NHECc8BIR,0.676,0.73,9,-10.381,1,0.0296,0.393,0.125,0.136,0.664,104.001,216533,4,42.74351,8,0,2000
Death Defying Years,Half the World,spotify:track:7B3LRoWMuBFvYImwsSsXcm,0.454,0.911,2,-3.857,1,0.0794,0.0184,0.0,0.128,0.445,93.218,186760,4,58.33992,6,0,2000
Anphisbena,Opera IX,spotify:track:0m44z5yhxeWssBgxf2sBTv,0.075,0.858,9,-5.01,0,0.0651,2.71e-06,0.79,0.0395,0.31,61.106,462400,4,37.73448,20,0,2000
Maria Rosario,Los Amantes De Lola,spotify:track:1QnaEDLQn4nz0z8vWOrh0r,0.723,0.65,2,-7.128,0,0.0419,0.0115,0.00774,0.077,0.966,124.471,297187,4,62.76144,10,0,2000
Hellraiser - VNV Nation Remix,Suicide Commando,spotify:track:53SYH7zZomYLOBSMNUW1Xl,0.524,0.894,2,-9.573,1,0.0328,0.000364,0.846,0.15,0.212,140.003,403573,4,30.59056,15,0,2000
Improvisation 10,Joe Mcphee,spotify:track:2Rafn6JsLdVC9AFwhVXVie,0.393,0.0523,9,-22.591,0,0.0452,0.967,0.255,0.0768,0.0853,140.557,439240,3,63.46445,21,0,2000
Rosa de Metal,Red Wine,spotify:track:7x2v2qFUQRCeG9QEsfrRHs,0.404,0.958,9,-4.405,0,0.0683,0.00139,0.0,0.0451,0.328,90.099,257760,4,103.01444,7,0,2000
Me And The Bean,Spoon,spotify:track:5oXaBT2x1pESGjgHFZApKa,0.665,0.646,4,-7.949,0,0.0394,0.00491,0.000204,0.199,0.962,133.724,213800,4,22.82569,12,0,2000
PCP Rock,Friends Forever,spotify:track:53LaeFXgkHNb9hM9n5ptTP,0.137,0.839,5,-3.048,1,0.0601,3.94e-05,0.885,0.305,0.132,142.318,219973,3,32.59319,11,0,2000
Feel you (I Love Trance Mix),Marc Et Claude,spotify:track:5uUZVbmtFxOWVqREYEeGhA,0.656,0.847,6,-7.47,0,0.0375,0.000123,0.329,0.0807,0.43,136.988,416133,4,28.94016,14,0,2000
Metal Army March,Witchtrap,spotify:track:1S0gaD9ikgSVPF1NQ60aS6,0.469,0.894,4,-8.321,1,0.0843,0.0676,0.188,0.0765,0.326,96.906,446560,4,41.58398,14,0,2000
Techno Dup,Marc Smith,spotify:track:38gzBsBLkGM4V8G6UFus80,0.654,0.943,8,-6.127,1,0.0964,0.0025,0.908,0.141,0.691,165.992,305373,4,23.90276,15,0,2000
Love Is Sold,Dj Spinna,spotify:track:5WOj1kKV0HWrCsK5ibnRup,0.777,0.635,1,-7.231,1,0.13,0.00061,0.516,0.0688,0.503,112.019,399840,4,25.52146,16,0,2000
Strange Things Happening Every Day,Sister Rosetta Tharpe,spotify:track:0R1gbCoIdyZlozzBzHLMF0,0.724,0.414,0,-9.952,1,0.0711,0.808,1.71e-05,0.161,0.737,154.875,166507,4,24.17586,9,0,2000
Gimmie Love,Collie Buddz,spotify:track:6UnR7DiYC4uGQW6YxkVcWT,0.648,0.675,10,-7.81,1,0.294,0.0387,0.0,0.154,0.631,79.419,224575,4,71.04259,6,0,2000
J'adore Hardcore,Scooter,spotify:track:27DkDhMTVYlZhwQVitCTAk,0.516,0.906,7,-5.515,1,0.051,0.0153,0.0173,0.705,0.327,150.003,260694,4,18.88981,15,0,2000
Top Down,Brian Bromberg,spotify:track:64uQABGTLxErFpSu1eWnuN,0.448,0.877,1,-5.278,1,0.0458,0.00027,0.906,0.355,0.746,156.004,335640,4,39.61448,17,0,2000
Classical Instrumental: Merry Go Round - Raga: Fusion,Kadri Gopalnath,spotify:track:16KfyjxUMFQTiW1ANgbHWL,0.722,0.686,6,-13.659,1,0.0398,0.313,0.589,0.328,0.962,119.88,358933,4,45.93453,19,0,2000
Pop 5,GAS,spotify:track:0rSc1SiAsd8Eo6B4KBnoQz,0.159,0.0331,10,-22.488,1,0.071,0.82,0.998,0.104,0.0336,129.425,646600,5,25.2304,39,0,2000
Ora,Ludovico Einaudi,spotify:track:2aUUsj6puY14yvfbSyM6Jj,0.231,0.124,10,-26.448,1,0.0557,0.963,0.883,0.0859,0.0514,129.758,477000,4,129.95233,13,0,2000
Sex Ed Rocks,I Set My Friends On Fire,spotify:track:70bIXA78HdQB7QCMZ5YwLF,0.419,0.918,2,-5.111,0,0.0828,0.00128,0.0,0.306,0.395,154.394,192699,4,62.40818,7,0,2000
We Will Glorify - House Of Worship Album Version,Twila Paris,spotify:track:0V3aZTzeoDK6whbZwsKX6w,0.468,0.554,9,-5.58,1,0.0315,0.744,0.0,0.0996,0.175,135.903,193427,3,44.34413,6,0,2000
Doctor Doctor,Michael Schenker,spotify:track:1kUZTOYBORnOjvFP7tM1p5,0.251,0.875,2,-3.938,0,0.0641,0.0118,0.0,0.127,0.308,136.122,287280,4,47.38856,16,0,2000
(Do Not Feed The) Oyster,Stephen Malkmus,spotify:track:6rSQtxF6vhbPhiLXhJRKzp,0.451,0.498,2,-8.535,1,0.0273,0.0723,0.185,0.0922,0.266,87.373,289227,4,32.18392,11,0,2000
"Interzone, Pt. 1: Part I: Why don't you have a sode pop",Enno Poppe,spotify:track:1krOnVXLfg0PJvipYsQ0iB,0.336,0.545,1,-16.639,1,0.0981,0.789,0.0,0.43,0.265,86.013,31787,4,0.0,2,0,2000
Show Me What You Got,Blessed By A Broken Heart,spotify:track:7uvn4zzwralcYsZU5tmuvY,0.471,0.934,10,-2.779,0,0.107,0.000159,1.22e-05,0.135,0.174,149.781,247813,4,27.93188,14,0,2000
Megalomania,Therion,spotify:track:4KLRtj98NPcVOBSrBzk6tU,0.133,0.745,7,-8.36,1,0.0449,1.22e-05,0.925,0.078,0.246,80.799,301000,3,38.18346,15,0,2000
