track,artist,uri,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,chorus_hit,sections,target,decade
7 Days,Craig David,spotify:track:0gPQTLaqHDgdupKEok7J2x,0.659,0.812,4,-7.499,0,0.0487,0.23,0.0,0.0951,0.888,83.013,235133,4,25.46132,12,1,2000
Rock Your Body,Justin Timberlake,spotify:track:1AWQoqb9bSvzTjaLralEkT,0.891,0.714,4,-6.055,0,0.14,0.202,0.000234,0.0521,0.818,100.972,267267,4,37.11249,12,1,2000
Bed,J. Holiday,spotify:track:6TlRNJaezOdzdECnQeRuMM,0.684,0.606,5,-7.268,0,0.0504,0.17,0.0,0.058,0.723,127.901,275107,4,41.49527,13,1,2000
Scars,Papa Roach,spotify:track:1UREw2MCfU0xwBzCAjxlUD,0.471,0.936,11,-3.354,1,0.0448,0.0783,0.0,0.171,0.45,89.881,208186,4,22.21413,7,1,2000
Ain't It Funny,Jennifer Lopez Featuring Ja Rule,spotify:track:5ahFyKndeg1hqfmNumL3WF,0.781,0.746,8,-2.686,1,0.17,0.364,0.0,0.098,0.786,89.43,229800,4,26.64298,10,1,2000
Sound Of Madness,Shinedown,spotify:track:0W9Xvd4Qx1aZPxEi94vgRY,0.328,0.939,2,-1.654,0,0.0423,4.93e-05,0.0065,0.337,0.329,185.971,233987,4,78.255,7,1,2000
Here I Am,Rick Ross Featuring Nelly & Avery Storm,spotify:track:67yGTWcR72BZvsrSS2dHST,0.746,0.717,10,-5.788,0,0.127,0.189,0.0,0.0704,0.475,109.753,209547,4,38.40043,11,1,2000
Crush,David Archuleta,spotify:track:4wCD0qOFNRu1Q6O3N6ycm4,0.57,0.664,0,-4.718,0,0.0322,0.00836,1.2e-05,0.0719,0.487,162.084,213520,4,33.46,8,1,2000
Some Beach,Blake Shelton,spotify:track:7kWeSMXLxUHHOkFxsS0vhP,0.787,0.765,0,-6.331,1,0.0265,0.231,1.79e-05,0.323,0.964,115.979,204827,4,30.21304,10,1,2000
When You Lie Next To Me,Kellie Coffey,spotify:track:6EwbFB8T0uIaaRCNwAIrnS,0.312,0.404,5,-10.014,1,0.0293,0.184,0.0,0.306,0.115,138.425,239827,4,54.21894,12,1,2000
"1, 2, 3, 4",Plain White T's,spotify:track:5VWmMZCfJ4yVkJw9ZLFXej,0.458,0.55,2,-7.092,1,0.0262,0.566,1.39e-05,0.108,0.56,90.56,198360,4,22.42462,10,1,2000
Mama's Song,Carrie Underwood,spotify:track:0m8Ta268d1kBBG7lxMyWqa,0.341,0.659,2,-5.419,1,0.0357,0.442,0.0,0.096,0.269,79.987,240240,4,25.29826,14,1,2000
Used To Love U,John Legend,spotify:track:051NZ3rr3HXTULCEySJRX3,0.661,0.796,7,-4.776,1,0.0833,0.0347,0.0,0.396,0.657,87.982,210867,4,25.31054,9,1,2000
Rush,Aly & AJ,spotify:track:1dpXikU9kSyxm1mKulwHws,0.548,0.815,2,-5.218,0,0.0409,0.0175,8.9e-06,0.127,0.212,129.963,191733,4,42.49121,8,1,2000
I Remember,Keyshia Cole,spotify:track:1dObJGQUgJ7tWxJ0byON6W,0.422,0.736,5,-4.426,0,0.049,0.203,0.0,0.102,0.303,129.278,260093,4,29.05424,12,1,2000
We Made It,Busta Rhymes Featuring Linkin Park,spotify:track:26jVcJqG66nj36jRqPBp2U,0.62,0.746,11,-6.006,1,0.0552,0.424,0.0,0.0684,0.191,138.454,238067,4,23.56907,11,1,2000
Almost Home,Craig Morgan,spotify:track:6FW9MTGMjR5A6q2o7PLuuz,0.525,0.481,8,-6.715,1,0.0251,0.302,0.0,0.121,0.237,75.974,289000,4,42.11222,11,1,2000
Who Let The Dogs Out,Baha Men,spotify:track:1H5tvpoApNDxvxDexoaAUo,0.869,0.887,0,-4.505,1,0.0993,0.0605,0.0,0.148,0.784,129.221,198400,4,29.40143,10,1,2000
Ordinary People,John Legend,spotify:track:2ZA4uMlSZjaoWGFqP1tsLI,0.469,0.132,10,-14.001,1,0.0807,0.929,0.0,0.0873,0.36,67.011,281467,3,23.73524,11,1,2000
Living In Fast Forward,Kenny Chesney,spotify:track:0cE0J96KeivafL6goJwpmq,0.689,0.907,9,-5.587,1,0.037,0.0254,0.000732,0.138,0.912,116.968,211893,4,41.28787,10,1,2000
How Far,Martina McBride,spotify:track:45wdPEiLuyv4oSwWQOX93R,0.473,0.59,6,-5.373,1,0.0298,0.359,0.0,0.101,0.334,140.191,235307,4,38.45284,10,1,2000
5 Star,Yo Gotti,spotify:track:6N9wsG0HYEpGEr0Ihgbz5r,0.715,0.809,9,-5.598,1,0.205,0.0607,0.0,0.352,0.636,76.493,247440,4,29.85259,9,1,2000
Life Ain't Always Beautiful,Gary Allan,spotify:track:3unLUM6bJcy5beGawHpynM,0.481,0.508,2,-7.666,1,0.0248,0.216,0.000175,0.105,0.268,86.013,224613,4,71.34437,7,1,2000
Kiss A Girl,Keith Urban,spotify:track:4DyKZmONpoggnn3piyjad2,0.653,0.786,2,-5.418,1,0.0338,0.0103,2.19e-06,0.201,0.477,120.992,226733,4,33.55326,9,1,2000
Another Postcard (Chimps),Barenaked Ladies,spotify:track:6rMx1neL9mLYivQ5U6PFk3,0.621,0.747,1,-6.552,0,0.0782,0.00227,0.000234,0.0449,0.726,172.31,205267,4,63.6742,8,1,2000
As Good As I Once Was,Toby Keith,spotify:track:7G6l2FtQyRhQgYgut2I6i8,0.68,0.87,5,-4.461,1,0.0393,0.266,0.0,0.109,0.646,119.075,227840,4,57.79785,10,1,2000
Headsprung,LL Cool J,spotify:track:1GIN41bLhiKeEPeC2vXH8i,0.718,0.786,0,-5.76,1,0.0284,0.0114,2.5e-05,0.0745,0.465,99.916,267320,4,40.33202,20,1,2000
L.A. Song,Beth Hart,spotify:track:69pBTbnLue0leYUCMAFqPj,0.351,0.615,7,-7.621,1,0.0451,0.206,0.0,0.985,0.337,127.798,271107,3,58.57055,10,1,2000
Chicks Dig It,Chris Cagle,spotify:track:0nprj2O0teCglthuhzTG5o,0.596,0.921,7,-4.987,1,0.0504,0.0221,0.0,0.303,0.703,104.024,210560,4,29.07478,11,1,2000
What's Left Of Me,Nick Lachey,spotify:track:1bPqAXwNiVcM6zjJU1Z4Cd,0.421,0.728,7,-5.644,1,0.035,0.136,0.0,0.136,0.311,150.12,244667,4,29.22179,11,1,2000
I Learned From The Best,Whitney Houston,spotify:track:3wACjmQo7ZkRNMLfZXndFB,0.609,0.563,5,-6.284,0,0.0328,0.0109,7.76e-06,0.156,0.306,148.949,259533,4,41.68325,14,1,2000
Broken,Seether Featuring Amy Lee,spotify:track:507bYMYfbm6sUS9iEAaeSd,0.448,0.61,3,-2.695,0,0.0342,0.0102,0.000491,0.135,0.214,123.762,258333,4,48.88537,12,1,2000
I'd Do Anything,Simple Plan,spotify:track:4uVjbl6daCwjhDur7qLddu,0.395,0.917,8,-6.86,1,0.133,0.00143,0.0,0.261,0.563,169.088,197640,4,30.63383,6,1,2000
Meet Me Halfway,The Black Eyed Peas,spotify:track:0xfpx7AiwgSKEtjotea2L6,0.798,0.629,11,-6.857,0,0.0735,0.00474,2.17e-05,0.324,0.4,130.0,284373,4,30.48537,14,1,2000
Step Daddy,Hitman Sammy Sam,spotify:track:1TKRumlRMXv2SEKPhueya0,0.93,0.773,1,-5.98,1,0.0457,0.00609,0.000481,0.0767,0.348,118.997,230493,4,31.99187,10,1,2000
I Miss You,Blink-182,spotify:track:1oTo3ijRbaDAtrjJrGAPSw,0.664,0.781,11,-6.547,1,0.0339,0.00103,5.33e-06,0.0867,0.593,110.0,227240,4,30.64844,10,1,2000
The Saints Are Coming,U2 & Green Day,spotify:track:6uQL0epVs9N9Bergafaf6x,0.315,0.81,4,-7.026,0,0.0468,0.0781,0.00321,0.152,0.118,152.116,201907,4,33.25761,11,1,2000
Beautiful,Christina Aguilera,spotify:track:3TCauNPqFiniaYHBvEVoHG,0.457,0.573,5,-3.866,0,0.0275,0.578,3.05e-06,0.114,0.0992,76.193,238560,4,29.82293,11,1,2000
Shadow Of The Day,Linkin Park,spotify:track:0OYcEfskah1egYHjYRvbg1,0.534,0.393,11,-7.813,1,0.0292,0.00479,0.0107,0.107,0.0641,110.007,290360,4,58.45602,9,1,2000
99.9% Sure (I've Never Been Here Before),Brian McComas,spotify:track:14ymPtb1n06KzSm0J9bmMZ,0.606,0.959,7,-3.412,1,0.0522,0.0714,0.0,0.236,0.734,116.014,193293,4,59.85298,8,1,2000
Some People Change,Montgomery Gentry,spotify:track:7cmZDjXMF1A0dGV726pMYs,0.55,0.61,2,-6.358,1,0.0388,0.0456,0.0,0.11,0.357,168.186,201867,4,24.3249,11,1,2000
Right Where You Want Me,Jesse McCartney,spotify:track:58ZvuqZgeuZMCbpCsH9E76,0.72,0.548,4,-4.805,0,0.0291,0.00269,0.000118,0.0511,0.709,99.004,211693,4,28.30516,8,1,2000
Baby It's You,JoJo Featuring Bow Wow,spotify:track:5TV96lkS2NF6kzILjORzLs,0.858,0.607,1,-4.199,1,0.118,0.0169,3.97e-05,0.0777,0.821,119.986,188293,3,66.31259,9,1,2000
Help Pour Out The Rain (Lacey's Song),Buddy Jewell,spotify:track:4xWIqUIlfrusaaygS9RQsR,0.565,0.562,0,-7.43,1,0.0339,0.263,0.0,0.0994,0.652,75.035,229093,4,25.98469,9,1,2000
Ever The Same,Rob Thomas,spotify:track:02acUMylPHMjJ9miDc9b38,0.435,0.729,1,-4.818,0,0.0307,0.0152,2.63e-05,0.11,0.524,188.017,256600,4,41.42314,10,1,2000
Suffocate,J. Holiday,spotify:track:3nJjIYchBNkYm7B8XfJf5N,0.458,0.445,9,-8.391,0,0.361,0.64,0.0,0.118,0.447,82.82,220053,5,33.16176,7,1,2000
If Nobody Believed In You,Joe Nichols,spotify:track:28NvPQZ8XVVlV2eGmUw2Za,0.679,0.316,6,-11.327,1,0.031,0.625,4.85e-05,0.109,0.273,127.968,235067,4,42.55397,9,1,2000
Are You Gonna Be My Girl,Jet,spotify:track:305WCRhhS10XUcH6AEwZk6,0.613,0.953,2,-3.435,1,0.0855,0.00148,0.000582,0.152,0.537,105.046,213800,4,20.87996,7,1,2000
One Thing,Finger Eleven,spotify:track:2BepFzUWfczDk68DXj10w3,0.588,0.555,1,-9.401,1,0.0334,0.447,0.0,0.0806,0.445,151.991,279573,4,25.8805,13,1,2000
You Know What It Is,T.I. Featuring Wyclef Jean,spotify:track:5Tc1KlDWyRnLLXL1y6ufsM,0.657,0.853,1,-4.757,0,0.252,0.17,0.0,0.0956,0.746,173.066,287133,4,24.82765,14,1,2000
AM To PM,Christina Milian,spotify:track:4e4dNzVG8DBQqbhX57Wxe8,0.872,0.86,0,-3.488,0,0.131,0.158,1.41e-05,0.833,0.855,104.956,233587,4,54.45268,9,1,2000
The Fear,Lily Allen,spotify:track:7bW6MqAdTclmHVHAOkIyPS,0.661,0.847,10,-6.948,1,0.0404,0.419,8.82e-05,0.107,0.522,134.002,207120,4,22.45476,8,1,2000
Come A Little Closer,Dierks Bentley,spotify:track:4HE1X1MtjHCjxicUHYQmyW,0.585,0.577,5,-5.752,1,0.0228,0.0587,0.00369,0.102,0.335,80.02,282720,4,22.54452,11,1,2000
Soul Sista,Bilal,spotify:track:54SqlaPV5mzRTBBWdnE1OO,0.598,0.412,11,-9.838,1,0.14,0.815,0.000352,0.114,0.431,146.039,339847,4,28.83319,18,1,2000
I Wanna Be With You,Mandy Moore,spotify:track:4du0TY3NTgvQGlelrBHfDL,0.515,0.908,8,-4.632,1,0.0368,0.0158,1.88e-05,0.412,0.637,150.031,252600,4,36.74395,13,1,2000
One More Time,Daft Punk,spotify:track:0DiWol3AO6WpXZgp0goxAV,0.611,0.697,2,-8.618,1,0.133,0.0193,0.0,0.332,0.476,122.752,320357,4,58.19603,14,1,2000
I'm Like A Bird,Nelly Furtado,spotify:track:2tP7ZekzXfduShx8C6cbll,0.622,0.608,10,-5.085,1,0.036,0.138,5.38e-06,0.273,0.607,89.661,243160,4,44.45434,8,1,2000
Girls Lie Too,Terri Clark,spotify:track:2Vn8Ea6fGOM3dsGYVcJ62G,0.499,0.883,4,-4.742,1,0.0451,0.0689,0.0,0.163,0.533,138.801,214200,4,77.12452,5,1,2000
Runaway,NB Ridaz Featuring Angelina,spotify:track:49hhlarIcc7kZe459BrXQ8,0.718,0.671,11,-7.517,0,0.113,0.377,0.0,0.114,0.552,170.012,240133,4,38.89064,13,1,2000
"Tricky, Tricky",Lou Bega,spotify:track:4INRUdIART6zmdeLquiu5g,0.858,0.947,0,-3.557,1,0.235,0.125,0.0,0.0367,0.967,151.037,203133,4,21.8709,8,1,2000
Number One,R. Kelly Featuring Keri Hilson,spotify:track:5nB5bek72WORC5jegCIPNk,0.65,0.813,0,-4.673,1,0.112,0.228,0.0,0.18,0.576,136.796,260867,4,48.46709,10,1,2000
Get No Better,Cassidy Featuring Mashonda,spotify:track:30KGtFjHhlT3JMX5s4IklU,0.717,0.597,2,-7.83,1,0.189,0.292,0.0,0.128,0.566,95.018,234853,4,30.24518,12,1,2000
No More Drama,Mary J. Blige,spotify:track:7GCE5mQQsyqswYbEkCieK5,0.623,0.828,6,-6.265,0,0.212,0.509,7.77e-06,0.0946,0.592,97.926,248320,4,40.53372,8,1,2000
Broken,Lifehouse,spotify:track:5f6cTFoUenDiCJDGecYiuB,0.534,0.708,11,-5.732,1,0.0402,0.089,0.0,0.192,0.488,130.639,286480,4,45.46272,12,1,2000
I Get Money,50 Cent,spotify:track:1FKFCvi0i46qEJLZSEBH8p,0.525,0.933,9,-4.673,1,0.356,0.159,0.000241,0.311,0.457,122.631,223720,5,25.31908,9,1,2000
Mr. Carter,Lil Wayne Featuring Jay-Z,spotify:track:2tQM1BUrXp2kqOM6mN11TC,0.486,0.71,7,-6.287,1,0.363,0.0445,0.0,0.35,0.472,170.86,316267,4,20.01532,15,1,2000
What Kinda Gone,Chris Cagle,spotify:track:7uPReljrrTaqzDCcx4JHmi,0.494,0.861,5,-5.236,1,0.0365,0.257,0.0,0.103,0.668,172.052,181613,4,56.41995,7,1,2000
Why I Love You,B2K,spotify:track:0fPBKo78nKsbIla2ExeefC,0.698,0.618,0,-5.83,1,0.0282,0.0482,0.0,0.116,0.37,89.981,240640,4,26.48417,9,1,2000
I Look To You,Whitney Houston,spotify:track:1rAESNsSXvXpJh9hCjgHVX,0.55,0.373,4,-6.31,1,0.0286,0.717,0.0,0.096,0.101,101.84,265613,4,73.7704,11,1,2000
Never Scared,Bone Crusher Featuring Killer Mike & T.I.,spotify:track:4kmIO0yPq92dXtKCL28RfC,0.586,0.927,11,-4.077,0,0.194,0.00924,1.85e-06,0.344,0.528,73.023,316133,4,27.20698,16,1,2000
My Band,D12,spotify:track:4XHQyvbrBsQaaBUW1VvmsL,0.848,0.854,6,-3.305,0,0.0845,0.47,2.29e-06,0.106,0.876,120.024,298773,4,33.02932,15,1,2000
All The Right Moves,OneRepublic,spotify:track:5XRHGXut00SrJUFmcn2lQF,0.529,0.948,0,-3.527,1,0.0474,0.258,9.35e-06,0.283,0.65,146.024,238000,4,25.16272,11,1,2000
Girls Around The World,Lloyd Featuring Lil Wayne,spotify:track:6fju5NbZznZRZDfP7mpZ56,0.727,0.83,7,-8.699,1,0.125,0.0286,0.000368,0.145,0.59,97.602,229800,4,47.60881,8,1,2000
Hush Hush,The Pussycat Dolls Featuring Nicole Scherzinger,spotify:track:2H9CKpZiLDF223BbwehpDF,0.613,0.778,10,-3.933,0,0.0689,0.0985,0.0,0.356,0.626,129.483,252093,4,91.30839,8,1,2000
G'd Up,Snoop Dogg Presents Tha Eastsidaz,spotify:track:1zIXpzuCC7FM4kECt2eEzu,0.908,0.763,1,-5.739,1,0.28,0.0395,0.0,0.0646,0.593,97.106,273467,4,23.51463,11,1,2000
Can't Let You Go,Fabolous Featuring Mike Shorey & Lil' Mo,spotify:track:6lrRIfQDcikJ5y5DtyZPuJ,0.646,0.6,9,-6.569,1,0.458,0.231,0.0,0.0794,0.811,192.082,223973,4,26.98133,14,1,2000
Bad Habits,Maxwell,spotify:track:0f62w1teOSaYgKObtzygaR,0.661,0.67,11,-7.645,0,0.258,0.0873,2.01e-06,0.0794,0.661,148.02,352280,4,67.8362,14,1,2000
Nude,Radiohead,spotify:track:5k7VKj1Xwy5DjO4B0PdAOb,0.537,0.342,4,-9.785,1,0.0338,0.833,0.6,0.0856,0.156,128.331,255387,3,40.58623,10,1,2000
Heaven,Los Lonely Boys,spotify:track:2mQ1RBK7s87mdPCzh97RSH,0.664,0.862,6,-5.403,1,0.0679,0.378,4.19e-06,0.0824,0.782,91.91,227347,4,33.83419,8,1,2000
I Want You,Janet Jackson,spotify:track:5xDDEqO786YBj3tJDSR2Ms,0.643,0.843,3,-5.533,1,0.0384,0.172,0.0247,0.122,0.666,105.744,252800,3,50.25079,9,1,2000
Steam,Ty Herndon,spotify:track:2sPXJCnKyQ1SWjc2JdFnQK,0.676,0.738,6,-6.693,1,0.0262,0.0497,2.7e-06,0.0784,0.697,101.944,216693,4,21.42116,12,1,2000
Right Thurr,Chingy,spotify:track:0l3GEbH3CviUytD6iX4wzg,0.866,0.749,2,-3.977,1,0.253,0.15,0.0,0.0614,0.891,92.074,250747,4,20.80496,10,1,2000
Why Can't I?,Liz Phair,spotify:track:4z4PB23xYTg1oANmyZovsw,0.487,0.759,11,-4.849,1,0.0405,0.0273,0.0,0.165,0.227,80.958,208360,4,37.25538,10,1,2000
Here We Go Again,Demi Lovato,spotify:track:33RJ3P6wc0B0FIyDalhNTv,0.585,0.927,5,-5.253,1,0.04,0.00432,0.0,0.178,0.672,142.043,226253,4,47.06438,6,1,2000
Goodbye,Jagged Edge,spotify:track:3PcocqQL1Qn6LtUxjSlk4R,0.821,0.727,6,-6.262,1,0.105,0.134,2.4e-06,0.0532,0.971,130.0,273020,4,67.4764,11,1,2000
Too Bad,Nickelback,spotify:track:2cCWbBmadLbKvr9xddC79R,0.598,0.808,10,-5.209,1,0.0388,0.00304,0.0,0.147,0.288,128.025,232240,4,34.01039,11,1,2000
Take You There,Sean Kingston,spotify:track:6AdLyvisRKHLAwARaZMGr6,0.752,0.921,5,-4.321,0,0.0696,0.0182,0.0,0.256,0.634,115.033,236693,4,51.40239,13,1,2000
Feels Just Like It Should,Pat Green,spotify:track:4jVipHalgvFVz3Smp4aQID,0.658,0.742,1,-3.511,1,0.0319,0.39,0.000331,0.125,0.698,123.316,227027,4,42.51601,8,1,2000
Sexual (Li Da Di),Amber,spotify:track:4jCWcK6PhbnzOCAFJEztUm,0.623,0.898,4,-6.604,0,0.0309,0.000192,0.303,0.138,0.786,130.993,226227,4,30.7697,12,1,2000
Tequila Makes Her Clothes Fall Off,Joe Nichols,spotify:track:6IC6VhpV7D8T1t037Atqpu,0.664,0.706,2,-7.045,1,0.027,0.129,1.06e-06,0.0857,0.681,93.968,187053,4,48.33546,7,1,2000
Again,Faith Evans,spotify:track:17Yws6NV4W7lAGPtq4UPIT,0.489,0.763,7,-6.077,1,0.24,0.0158,0.0,0.42,0.362,173.822,198787,4,41.44659,11,1,2000
Underneath It All,No Doubt Featuring Lady Saw,spotify:track:6fR6Z0Vc1K6yQWNUIKjAIR,0.729,0.731,4,-4.823,1,0.0682,0.235,1.35e-06,0.391,0.838,138.204,302720,4,22.99943,15,1,2000
On Fire,Lil Wayne,spotify:track:50mX6QmpQX4cCsRYJ9fGM3,0.626,0.866,11,-4.065,0,0.0408,0.00316,0.000364,0.171,0.545,132.031,248240,4,29.76757,13,1,2000
The Boss,Rick Ross Featuring T-Pain,spotify:track:3n5qF6aprwEIjHWuH5jECM,0.431,0.842,7,-4.072,1,0.357,0.00876,0.0,0.309,0.61,83.66,225653,4,61.26174,11,1,2000
Days Go By,Dirty Vegas,spotify:track:2RLpFEf6d0708O7Bqhjyxg,0.786,0.853,9,-8.274,0,0.0688,0.0499,0.0872,0.35,0.309,126.99,432147,4,18.48264,19,1,2000
Green Light,John Legend Featuring Andre 3000,spotify:track:72by3Re4C3eVEBXvsUo0zV,0.622,0.882,9,-5.59,0,0.119,0.0912,0.0,0.216,0.762,77.506,284187,4,27.35507,11,1,2000
American Saturday Night,Brad Paisley,spotify:track:7xJqaCgeteqWPogqjjxkBl,0.487,0.938,4,-5.466,1,0.0533,0.0721,2.63e-05,0.522,0.733,157.795,274200,4,26.73053,12,1,2000
I Need To Know,Marc Anthony,spotify:track:7ffwRz8lZyDOE4Vj58Lo72,0.813,0.949,3,-2.563,0,0.0336,0.486,9.75e-06,0.112,0.792,115.061,227707,4,31.46063,10,1,2000
Because Of You,Ne-Yo,spotify:track:6CFPFnS9EcLs2I0nWqtWci,0.81,0.538,0,-5.784,0,0.0356,0.528,0.0,0.0951,0.828,109.97,266840,4,24.35569,9,1,2000
Drive (For Daddy Gene),Alan Jackson,spotify:track:3xzoXqypESowMIDPX760Ds,0.709,0.61,11,-7.206,1,0.0434,0.317,0.0,0.102,0.475,125.189,242067,4,23.93504,9,1,2000
Watching Airplanes,Gary Allan,spotify:track:63u5QGp9dKXAoYTVKUKBYn,0.374,0.711,11,-3.587,1,0.0354,0.547,4.12e-05,0.147,0.468,160.001,242947,4,33.35896,12,1,2000
Numb,Linkin Park,spotify:track:2nLtzopw4rPReszdYBJU6h,0.496,0.863,9,-4.153,1,0.0381,0.0046,0.0,0.639,0.243,110.018,185587,4,52.77931,6,1,2000
"Swing, Swing",The All-American Rejects,spotify:track:003FTlCpBTM4eSqYSWPv4H,0.553,0.717,7,-5.857,1,0.0318,6.48e-05,0.128,0.0385,0.318,127.947,233267,4,29.84441,12,1,2000
Don't Wait,Dashboard Confessional,spotify:track:0iufOeur7VOffzvM1U35QN,0.422,0.836,3,-4.088,1,0.0361,0.000251,0.00166,0.351,0.165,154.013,245000,4,38.8046,12,1,2000
Foolish,Ashanti,spotify:track:6zMUIb4uce1CzpbjR3vMdN,0.665,0.696,0,-5.763,1,0.0521,0.337,0.0,0.106,0.711,90.116,227387,4,25.28125,9,1,2000
Not Today,Mary J. Blige Featuring Eve,spotify:track:1tWgwttq1I2RlcJFN1dfNh,0.907,0.628,10,-2.551,0,0.0796,0.448,1.32e-06,0.0423,0.902,94.027,253867,4,29.4249,13,1,2000
Tal Vez,Ricky Martin,spotify:track:2VspVkHity8i4H9jammhhR,0.512,0.615,11,-5.318,1,0.0319,0.216,0.0,0.123,0.193,115.884,279227,4,32.57099,9,1,2000
How Did You Know?,Mynt Featuring Kim Sozzi,spotify:track:2UdD7uzjIURMsdx0DFK0Cn,0.698,0.889,9,-4.288,0,0.0409,0.012,1.49e-06,0.065,0.818,128.015,229172,4,29.21658,10,1,2000
Cha-Cha Slide,Mr. C The Slide Man,spotify:track:5xM801uXVrqhUb0PzeSLvJ,0.854,0.903,11,-6.821,0,0.147,0.0423,0.00576,0.316,0.814,131.02,222080,4,53.3623,5,1,2000
Falling Down,Selena Gomez & The Scene,spotify:track:6PAL3nzEgroNOMurJAjpFX,0.58,0.898,0,-3.517,1,0.0832,0.000146,7.87e-06,0.359,0.805,140.016,184680,4,28.03375,10,1,2000
"I Breathe In, I Breathe Out",Chris Cagle,spotify:track:3r513lY50AOJBqaG4nP2LT,0.316,0.514,7,-7.048,1,0.0271,0.178,0.0,0.194,0.242,185.882,243947,4,56.40952,10,1,2000
Home,Blake Shelton,spotify:track:2uEVQb8FstYyxpd8Gy6ndR,0.576,0.455,7,-7.587,1,0.0267,0.583,2.73e-05,0.0912,0.206,127.856,227040,4,31.2698,10,1,2000
Only You Can Love Me This Way,Keith Urban,spotify:track:1ddEJFVOCOjNqh19FTQAsX,0.566,0.429,2,-9.478,1,0.0286,0.457,3.38e-05,0.173,0.325,147.957,247680,4,55.41528,11,1,2000
Alright,Darius Rucker,spotify:track:5JlH51YDYsGj2dyEJKKjcN,0.601,0.806,7,-4.579,1,0.0345,0.0527,0.0,0.185,0.711,89.87,231920,4,21.66591,9,1,2000
My Love Goes On And On,Chris Cagle,spotify:track:7apaBXGNnhJ5iSGjmtVP7t,0.577,0.932,6,-6.137,1,0.0593,0.352,0.0,0.0609,0.92,161.949,182867,4,40.01974,10,1,2000
Get Drunk And Be Somebody,Toby Keith,spotify:track:408wKFP7qp6ALbjcex2t9k,0.628,0.896,2,-4.132,1,0.0557,0.229,0.0,0.365,0.666,128.06,178840,4,28.47751,7,1,2000
